Département,Population
Ain,662 244
Aisne,525 503
Allier,331 745
Alpes-de-Haute-Provence,165 702
Hautes-Alpes,140 022
Alpes-Maritimes,1 089 270
Ardèche,327 775
Ardennes,265 099
Ariège,153 115
Aube,310 147
Aude,377 719
Aveyron,279 210
Bouches-du-Rhône,2 048 395
Calvados,692 839
Cantal,143 280
Charente,348 997
Charente-Maritime,652 474
Cher,296 794
Corrèze,239 071
Corse-du-Sud,162 753
Haute-Corse,186 516
Côte-d'Or,532 026
Côtes-d'Armor,599 118
Creuse,114 505
Dordogne,410 730
Doubs,543 221
Drôme,523 122
Eure,595 037
Eure-et-Loir,428 178
Finistère,914 301
Gard,750 683
Haute-Garonne,1 424 915
Gers,191 387
Gironde,1 654 445
Hérault,1 196 633
Ille-et-Vilaine,1 094 636
Indre,216 698
Indre-et-Loire,609 408
Isère,1 271 078
Jura,257 926
Landes,416 825
Loir-et-Cher,326 375
Loire,765 283
Haute-Loire,227 546
Loire-Atlantique,1 458 768
Loiret,683 998
Lot,174 208
Lot-et-Garonne,329 874
Lozère,76 530
Maine-et-Loire,819 528
Manche,491 365
Marne,561 705
Haute-Marne,168 231
Mayenne,305 424
Meurthe-et-Moselle,729 737
Meuse,179 019
Morbihan,763 103
Moselle,1 038 440
Nièvre,199 518
Nord,2 598 299
Oise,829 695
Orne,275 131
Pas-de-Calais,1 455 018
Puy-de-Dôme,669 477
Pyrénées-Atlantiques,688 589
Hautes-Pyrénées,229 190
Pyrénées-Orientales,480 433
Bas-Rhin,1 147 474
Haut-Rhin,763 801
Rhône,1 892 753
Haute-Saône,233 391
Saône-et-Loire,547 181
Sarthe,562 177
Savoie,437 659
Haute-Savoie,838 480
Paris,2 142 366
Seine-Maritime,1 250 846
Seine-et-Marne,1 432 475
Yvelines,1 452 910
Deux-Sèvres,374 350
Somme,567 242
Tarn,389 420
Tarn-et-Garonne,262 254
Var,1 084 890
Vaucluse,560 719
Vendée,691 269
Vienne,438 869
Haute-Vienne,370 363
Vosges,358 823
Yonne,333 006
Territoire de Belfort,138 589
Essonne,1 315 456
Hauts-de-Seine,1 633 100
Seine-Saint-Denis,1 669 340
Val-de-Marne,1 418 572
Val-d'Oise,1 260 042
Guadeloupe ,375 693
Martinique ,354 824
Guyane,294 146
La Réunion,857 809
Mayotte,288 926
